params 0
{'model_type': 'dqn_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 30000 steps ...
    65/30000: episode: 1, duration: 2.119s, episode steps:  65, steps per second:  31, episode reward: -32.270, mean reward: -0.496 [-31.974,  2.810], mean action: 11.138 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   146/30000: episode: 2, duration: 1.020s, episode steps:  81, steps per second:  79, episode reward: -41.110, mean reward: -0.508 [-32.161,  2.617], mean action: 14.000 [1.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   199/30000: episode: 3, duration: 0.919s, episode steps:  53, steps per second:  58, episode reward: -44.250, mean reward: -0.835 [-32.031,  2.226], mean action: 13.226 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   255/30000: episode: 4, duration: 1.057s, episode steps:  56, steps per second:  53, episode reward: 33.000, mean reward:  0.589 [-2.848, 32.370], mean action: 14.125 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   306/30000: episode: 5, duration: 0.845s, episode steps:  51, steps per second:  60, episode reward: -38.090, mean reward: -0.747 [-32.267,  2.230], mean action: 15.020 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   355/30000: episode: 6, duration: 0.956s, episode steps:  49, steps per second:  51, episode reward: 34.985, mean reward:  0.714 [-3.000, 32.150], mean action: 14.714 [3.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   420/30000: episode: 7, duration: 1.041s, episode steps:  65, steps per second:  62, episode reward: -38.380, mean reward: -0.590 [-32.814,  2.990], mean action: 13.215 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   469/30000: episode: 8, duration: 1.271s, episode steps:  49, steps per second:  39, episode reward: -32.550, mean reward: -0.664 [-31.628,  2.323], mean action: 11.327 [3.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   528/30000: episode: 9, duration: 1.104s, episode steps:  59, steps per second:  53, episode reward: -32.440, mean reward: -0.550 [-31.982,  2.711], mean action: 13.254 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   674/30000: episode: 10, duration: 2.708s, episode steps: 146, steps per second:  54, episode reward: -38.060, mean reward: -0.261 [-32.352,  2.330], mean action: 12.144 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   721/30000: episode: 11, duration: 0.617s, episode steps:  47, steps per second:  76, episode reward: -32.510, mean reward: -0.692 [-31.775,  2.911], mean action: 13.213 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
