params 0
{'model_type': 'dqn_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 10000 steps ...
   73/10000: episode: 1, duration: 1.698s, episode steps:  73, steps per second:  43, episode reward: -35.450, mean reward: -0.486 [-32.794,  3.059], mean action: 10.137 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  120/10000: episode: 2, duration: 0.283s, episode steps:  47, steps per second: 166, episode reward: -35.160, mean reward: -0.748 [-31.519,  2.901], mean action: 13.489 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  161/10000: episode: 3, duration: 0.267s, episode steps:  41, steps per second: 154, episode reward: -37.760, mean reward: -0.921 [-32.558,  2.641], mean action: 14.244 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  210/10000: episode: 4, duration: 0.308s, episode steps:  49, steps per second: 159, episode reward: 35.659, mean reward:  0.728 [-3.000, 31.922], mean action: 14.551 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  298/10000: episode: 5, duration: 0.515s, episode steps:  88, steps per second: 171, episode reward: 32.872, mean reward:  0.374 [-2.678, 32.084], mean action: 11.898 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  364/10000: episode: 6, duration: 0.439s, episode steps:  66, steps per second: 150, episode reward: -46.770, mean reward: -0.709 [-32.336,  0.390], mean action: 14.758 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  408/10000: episode: 7, duration: 0.265s, episode steps:  44, steps per second: 166, episode reward: 38.643, mean reward:  0.878 [-2.708, 32.220], mean action: 10.932 [1.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  518/10000: episode: 8, duration: 0.673s, episode steps: 110, steps per second: 163, episode reward: -37.220, mean reward: -0.338 [-33.000,  2.280], mean action: 13.764 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  593/10000: episode: 9, duration: 0.492s, episode steps:  75, steps per second: 153, episode reward: 32.444, mean reward:  0.433 [-2.616, 32.500], mean action: 11.387 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  648/10000: episode: 10, duration: 0.323s, episode steps:  55, steps per second: 170, episode reward: 32.604, mean reward:  0.593 [-3.000, 31.765], mean action: 15.455 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  763/10000: episode: 11, duration: 0.657s, episode steps: 115, steps per second: 175, episode reward: -40.480, mean reward: -0.352 [-32.100,  2.350], mean action: 12.609 [1.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
