params 0
{'model_type': 'dqn_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 30000 steps ...
    43/30000: episode: 1, duration: 0.512s, episode steps:  43, steps per second:  84, episode reward: -34.890, mean reward: -0.811 [-32.604,  2.901], mean action: 15.419 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    89/30000: episode: 2, duration: 0.718s, episode steps:  46, steps per second:  64, episode reward: -32.660, mean reward: -0.710 [-32.176,  2.790], mean action: 15.348 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   274/30000: episode: 3, duration: 1.055s, episode steps: 185, steps per second: 175, episode reward: 33.000, mean reward:  0.178 [-3.000, 32.234], mean action: 8.849 [1.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   338/30000: episode: 4, duration: 0.372s, episode steps:  64, steps per second: 172, episode reward: -34.810, mean reward: -0.544 [-32.420,  2.750], mean action: 14.016 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   407/30000: episode: 5, duration: 0.382s, episode steps:  69, steps per second: 181, episode reward: -43.040, mean reward: -0.624 [-32.124,  2.620], mean action: 14.058 [6.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   462/30000: episode: 6, duration: 0.292s, episode steps:  55, steps per second: 188, episode reward: -40.630, mean reward: -0.739 [-31.996,  2.124], mean action: 14.073 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   508/30000: episode: 7, duration: 0.464s, episode steps:  46, steps per second:  99, episode reward: 32.330, mean reward:  0.703 [-2.398, 32.275], mean action: 12.217 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   603/30000: episode: 8, duration: 0.515s, episode steps:  95, steps per second: 185, episode reward: 32.700, mean reward:  0.344 [-2.351, 33.000], mean action: 13.716 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   649/30000: episode: 9, duration: 0.254s, episode steps:  46, steps per second: 181, episode reward: 41.099, mean reward:  0.893 [-2.873, 31.953], mean action: 13.109 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   769/30000: episode: 10, duration: 1.167s, episode steps: 120, steps per second: 103, episode reward: -32.650, mean reward: -0.272 [-32.009,  2.260], mean action: 16.583 [6.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   884/30000: episode: 11, duration: 0.664s, episode steps: 115, steps per second: 173, episode reward: -38.500, mean reward: -0.335 [-32.067,  2.880], mean action: 15.078 [1.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
