params 0
{'model_type': 'dqn_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 10000 steps ...
   34/10000: episode: 1, duration: 1.277s, episode steps:  34, steps per second:  27, episode reward: -39.000, mean reward: -1.147 [-32.079,  3.000], mean action: 14.941 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   53/10000: episode: 2, duration: 0.156s, episode steps:  19, steps per second: 122, episode reward: -39.000, mean reward: -2.053 [-32.704,  2.250], mean action: 14.316 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   81/10000: episode: 3, duration: 0.196s, episode steps:  28, steps per second: 143, episode reward: -41.910, mean reward: -1.497 [-32.040,  2.700], mean action: 14.607 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  102/10000: episode: 4, duration: 0.138s, episode steps:  21, steps per second: 152, episode reward: -42.000, mean reward: -2.000 [-32.219,  2.172], mean action: 13.571 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  132/10000: episode: 5, duration: 0.206s, episode steps:  30, steps per second: 146, episode reward: -38.910, mean reward: -1.297 [-32.210,  2.272], mean action: 15.100 [1.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  161/10000: episode: 6, duration: 0.198s, episode steps:  29, steps per second: 147, episode reward: -38.710, mean reward: -1.335 [-32.061,  2.620], mean action: 13.517 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  195/10000: episode: 7, duration: 0.217s, episode steps:  34, steps per second: 156, episode reward: -32.130, mean reward: -0.945 [-32.148,  2.900], mean action: 15.206 [6.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  249/10000: episode: 8, duration: 0.348s, episode steps:  54, steps per second: 155, episode reward: 32.841, mean reward:  0.608 [-2.566, 32.330], mean action: 13.389 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  279/10000: episode: 9, duration: 0.204s, episode steps:  30, steps per second: 147, episode reward: -35.480, mean reward: -1.183 [-31.553,  2.410], mean action: 15.533 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  312/10000: episode: 10, duration: 0.235s, episode steps:  33, steps per second: 140, episode reward: -41.860, mean reward: -1.268 [-32.047,  2.570], mean action: 14.727 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  356/10000: episode: 11, duration: 0.350s, episode steps:  44, steps per second: 126, episode reward: -47.190, mean reward: -1.073 [-32.045,  0.470], mean action: 16.114 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  386/10000: episode: 12, duration: 0.196s, episode steps:  30, steps per second: 153, episode reward: -35.810, mean reward: -1.194 [-32.285,  3.000], mean action: 11.667 [3.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  415/10000: episode: 13, duration: 0.173s, episode steps:  29, steps per second: 167, episode reward: -41.630, mean reward: -1.436 [-32.412,  2.370], mean action: 15.172 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  445/10000: episode: 14, duration: 0.189s, episode steps:  30, steps per second: 158, episode reward: -47.340, mean reward: -1.578 [-32.545,  0.224], mean action: 14.000 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  471/10000: episode: 15, duration: 0.155s, episode steps:  26, steps per second: 168, episode reward: -41.810, mean reward: -1.608 [-32.335,  2.112], mean action: 16.462 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  493/10000: episode: 16, duration: 0.140s, episode steps:  22, steps per second: 158, episode reward: -44.050, mean reward: -2.002 [-32.084,  2.066], mean action: 17.000 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  521/10000: episode: 17, duration: 0.163s, episode steps:  28, steps per second: 172, episode reward: -38.230, mean reward: -1.365 [-31.837,  3.046], mean action: 13.679 [3.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  546/10000: episode: 18, duration: 0.174s, episode steps:  25, steps per second: 144, episode reward: -44.470, mean reward: -1.779 [-32.389,  2.300], mean action: 15.640 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  584/10000: episode: 19, duration: 0.235s, episode steps:  38, steps per second: 162, episode reward: -41.650, mean reward: -1.096 [-31.943,  2.184], mean action: 13.974 [3.000, 18.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  611/10000: episode: 20, duration: 0.160s, episode steps:  27, steps per second: 169, episode reward: -38.830, mean reward: -1.438 [-32.211,  2.171], mean action: 15.000 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  673/10000: episode: 21, duration: 0.380s, episode steps:  62, steps per second: 163, episode reward: -35.280, mean reward: -0.569 [-31.502,  2.833], mean action: 11.871 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  695/10000: episode: 22, duration: 0.126s, episode steps:  22, steps per second: 174, episode reward: -41.110, mean reward: -1.869 [-32.303,  2.810], mean action: 15.682 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  730/10000: episode: 23, duration: 0.226s, episode steps:  35, steps per second: 155, episode reward: -44.380, mean reward: -1.268 [-31.850,  2.091], mean action: 12.343 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  776/10000: episode: 24, duration: 0.278s, episode steps:  46, steps per second: 166, episode reward: -44.090, mean reward: -0.958 [-32.047,  2.080], mean action: 16.043 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  838/10000: episode: 25, duration: 0.383s, episode steps:  62, steps per second: 162, episode reward: -35.790, mean reward: -0.577 [-32.225,  2.270], mean action: 15.839 [14.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  873/10000: episode: 26, duration: 0.221s, episode steps:  35, steps per second: 158, episode reward: -42.000, mean reward: -1.200 [-32.221,  2.421], mean action: 15.514 [6.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  921/10000: episode: 27, duration: 0.279s, episode steps:  48, steps per second: 172, episode reward: -32.930, mean reward: -0.686 [-32.342,  3.059], mean action: 15.771 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  953/10000: episode: 28, duration: 0.185s, episode steps:  32, steps per second: 173, episode reward: -41.450, mean reward: -1.295 [-32.206,  2.220], mean action: 16.500 [15.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  996/10000: episode: 29, duration: 0.241s, episode steps:  43, steps per second: 178, episode reward: -44.010, mean reward: -1.023 [-32.103,  2.450], mean action: 16.279 [10.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
 1033/10000: episode: 30, duration: 1.135s, episode steps:  37, steps per second:  33, episode reward: -41.910, mean reward: -1.133 [-32.202,  2.257], mean action: 12.459 [1.000, 18.000],  loss: 0.015073, mae: 0.475610, mean_q: 0.342564, mean_eps: 0.000000
 1063/10000: episode: 31, duration: 0.319s, episode steps:  30, steps per second:  94, episode reward: 33.000, mean reward:  1.100 [-2.467, 32.450], mean action: 7.967 [1.000, 18.000],  loss: 0.016262, mae: 0.494812, mean_q: 0.097692, mean_eps: 0.000000
 1094/10000: episode: 32, duration: 0.328s, episode steps:  31, steps per second:  95, episode reward: 37.505, mean reward:  1.210 [-2.491, 32.290], mean action: 5.097 [1.000, 15.000],  loss: 0.014685, mae: 0.561639, mean_q: 0.003320, mean_eps: 0.000000
 1118/10000: episode: 33, duration: 0.244s, episode steps:  24, steps per second:  98, episode reward: -38.470, mean reward: -1.603 [-32.061,  2.090], mean action: 9.125 [1.000, 21.000],  loss: 0.011515, mae: 0.553697, mean_q: 0.011850, mean_eps: 0.000000
 1147/10000: episode: 34, duration: 0.309s, episode steps:  29, steps per second:  94, episode reward: -35.070, mean reward: -1.209 [-32.188,  2.292], mean action: 9.310 [1.000, 18.000],  loss: 0.016729, mae: 0.560375, mean_q: 0.033119, mean_eps: 0.000000
 1183/10000: episode: 35, duration: 0.387s, episode steps:  36, steps per second:  93, episode reward: -33.000, mean reward: -0.917 [-32.197,  3.000], mean action: 4.972 [1.000, 18.000],  loss: 0.013971, mae: 0.526848, mean_q: 0.062964, mean_eps: 0.000000
 1215/10000: episode: 36, duration: 0.373s, episode steps:  32, steps per second:  86, episode reward: -38.110, mean reward: -1.191 [-32.252,  2.749], mean action: 15.281 [1.000, 18.000],  loss: 0.014877, mae: 0.520389, mean_q: 0.071183, mean_eps: 0.000000
