params 0
{'model_type': 'dqn_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 10000 steps ...
   28/10000: episode: 1, duration: 1.732s, episode steps:  28, steps per second:  16, episode reward: -41.510, mean reward: -1.482 [-32.058,  2.430], mean action: 16.214 [14.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   66/10000: episode: 2, duration: 0.390s, episode steps:  38, steps per second:  98, episode reward: -44.650, mean reward: -1.175 [-32.115,  1.790], mean action: 16.658 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   95/10000: episode: 3, duration: 0.242s, episode steps:  29, steps per second: 120, episode reward: -35.560, mean reward: -1.226 [-31.669,  2.920], mean action: 16.931 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  116/10000: episode: 4, duration: 0.201s, episode steps:  21, steps per second: 104, episode reward: -38.910, mean reward: -1.853 [-32.910,  3.000], mean action: 14.476 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  143/10000: episode: 5, duration: 0.222s, episode steps:  27, steps per second: 121, episode reward: -41.730, mean reward: -1.546 [-32.432,  2.540], mean action: 15.185 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  169/10000: episode: 6, duration: 0.208s, episode steps:  26, steps per second: 125, episode reward: -45.000, mean reward: -1.731 [-33.000,  2.320], mean action: 15.692 [10.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  199/10000: episode: 7, duration: 0.371s, episode steps:  30, steps per second:  81, episode reward: -44.570, mean reward: -1.486 [-32.004,  2.060], mean action: 15.900 [14.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  231/10000: episode: 8, duration: 0.291s, episode steps:  32, steps per second: 110, episode reward: -32.450, mean reward: -1.014 [-32.259,  3.000], mean action: 15.656 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  252/10000: episode: 9, duration: 0.158s, episode steps:  21, steps per second: 133, episode reward: -39.000, mean reward: -1.857 [-32.301,  2.371], mean action: 14.619 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  286/10000: episode: 10, duration: 0.256s, episode steps:  34, steps per second: 133, episode reward: -41.290, mean reward: -1.214 [-31.881,  2.950], mean action: 15.471 [7.000, 17.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  318/10000: episode: 11, duration: 0.223s, episode steps:  32, steps per second: 143, episode reward: -42.000, mean reward: -1.312 [-32.663,  2.320], mean action: 13.719 [1.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  348/10000: episode: 12, duration: 0.256s, episode steps:  30, steps per second: 117, episode reward: -39.000, mean reward: -1.300 [-32.265,  2.232], mean action: 15.100 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  372/10000: episode: 13, duration: 0.215s, episode steps:  24, steps per second: 112, episode reward: -41.080, mean reward: -1.712 [-31.873,  2.240], mean action: 13.375 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  409/10000: episode: 14, duration: 0.297s, episode steps:  37, steps per second: 124, episode reward: -39.000, mean reward: -1.054 [-32.197,  2.840], mean action: 13.216 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  441/10000: episode: 15, duration: 0.270s, episode steps:  32, steps per second: 118, episode reward: -38.340, mean reward: -1.198 [-32.042,  2.220], mean action: 15.438 [10.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  485/10000: episode: 16, duration: 0.342s, episode steps:  44, steps per second: 129, episode reward: -38.180, mean reward: -0.868 [-32.089,  2.430], mean action: 14.909 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  517/10000: episode: 17, duration: 0.257s, episode steps:  32, steps per second: 124, episode reward: -35.880, mean reward: -1.121 [-32.239,  2.700], mean action: 15.312 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  563/10000: episode: 18, duration: 0.374s, episode steps:  46, steps per second: 123, episode reward: -41.210, mean reward: -0.896 [-31.980,  2.502], mean action: 12.717 [1.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
