params 0
{'model_type': 'sarsa_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 10000 steps ...
   91/10000: episode: 1, duration: 2.136s, episode steps:  91, steps per second:  43, episode reward: -35.420, mean reward: -0.389 [-32.795,  2.721], mean action: 16.033 [4.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  173/10000: episode: 2, duration: 0.398s, episode steps:  82, steps per second: 206, episode reward: 32.389, mean reward:  0.395 [-2.670, 32.240], mean action: 12.976 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  217/10000: episode: 3, duration: 0.312s, episode steps:  44, steps per second: 141, episode reward: 36.797, mean reward:  0.836 [-3.000, 32.210], mean action: 14.114 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  304/10000: episode: 4, duration: 0.410s, episode steps:  87, steps per second: 212, episode reward: 34.734, mean reward:  0.399 [-2.642, 32.660], mean action: 13.770 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  342/10000: episode: 5, duration: 0.176s, episode steps:  38, steps per second: 215, episode reward: 35.349, mean reward:  0.930 [-3.000, 32.349], mean action: 12.658 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  394/10000: episode: 6, duration: 0.238s, episode steps:  52, steps per second: 218, episode reward: -38.770, mean reward: -0.746 [-32.085,  2.540], mean action: 15.712 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  458/10000: episode: 7, duration: 0.297s, episode steps:  64, steps per second: 215, episode reward: 33.000, mean reward:  0.516 [-2.777, 32.160], mean action: 14.672 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  548/10000: episode: 8, duration: 0.380s, episode steps:  90, steps per second: 237, episode reward: 37.913, mean reward:  0.421 [-3.000, 32.760], mean action: 13.667 [4.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  604/10000: episode: 9, duration: 0.259s, episode steps:  56, steps per second: 216, episode reward: -35.010, mean reward: -0.625 [-32.304,  2.534], mean action: 16.643 [0.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  669/10000: episode: 10, duration: 0.289s, episode steps:  65, steps per second: 225, episode reward: 33.000, mean reward:  0.508 [-2.420, 32.050], mean action: 11.231 [0.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  723/10000: episode: 11, duration: 0.243s, episode steps:  54, steps per second: 222, episode reward: -34.330, mean reward: -0.636 [-32.148,  3.000], mean action: 15.167 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  794/10000: episode: 12, duration: 0.287s, episode steps:  71, steps per second: 247, episode reward: -34.800, mean reward: -0.490 [-31.531,  2.592], mean action: 15.958 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  866/10000: episode: 13, duration: 0.302s, episode steps:  72, steps per second: 238, episode reward: -32.730, mean reward: -0.455 [-32.156,  4.217], mean action: 11.917 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  954/10000: episode: 14, duration: 0.531s, episode steps:  88, steps per second: 166, episode reward: -38.290, mean reward: -0.435 [-31.543,  2.293], mean action: 14.773 [5.000, 20.000],  loss: --, mae: --, mean_q: --, mean_eps: --
 1029/10000: episode: 15, duration: 0.957s, episode steps:  75, steps per second:  78, episode reward: 37.816, mean reward:  0.504 [-2.609, 32.160], mean action: 12.307 [5.000, 20.000],  loss: 0.004962, mae: 0.246360, mean_q: 0.362483, mean_eps: 0.000000
 1087/10000: episode: 16, duration: 0.486s, episode steps:  58, steps per second: 119, episode reward: -32.520, mean reward: -0.561 [-33.000,  2.880], mean action: 12.534 [0.000, 20.000],  loss: 0.006464, mae: 0.301987, mean_q: 0.352008, mean_eps: 0.000000
 1137/10000: episode: 17, duration: 0.447s, episode steps:  50, steps per second: 112, episode reward: -39.380, mean reward: -0.788 [-32.076,  2.170], mean action: 12.520 [2.000, 20.000],  loss: 0.005360, mae: 0.284831, mean_q: 0.253268, mean_eps: 0.000000
 1181/10000: episode: 18, duration: 0.394s, episode steps:  44, steps per second: 112, episode reward: 35.475, mean reward:  0.806 [-2.443, 29.712], mean action: 5.114 [2.000, 18.000],  loss: 0.005830, mae: 0.292608, mean_q: 0.301955, mean_eps: 0.000000
 1219/10000: episode: 19, duration: 0.293s, episode steps:  38, steps per second: 130, episode reward: 33.000, mean reward:  0.868 [-3.000, 32.290], mean action: 3.553 [2.000, 12.000],  loss: 0.008123, mae: 0.342489, mean_q: 0.515928, mean_eps: 0.000000
